verify_date_raw,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes
1-Sep-15,2,day,2015-09-01,,,,
1-Sep-20,2,day,2020-09-01,,,,
11-Aug-20,2,day,2020-08-11,,,,
11-Oct,2,month,,2011-10-01,2011-10-31,,
14-Apr,2,month,,2014-04-01,2014-04-30,,
14-Nov,2,month,,2014-11-01,2014-11-30,,
15-Sep,2,month,,2015-09-01,2015-09-30,,
17-May-21,2,day,2021-05-17,,,,
18-Feb,2,month,,2018-02-01,2018-02-28,,
2012-2014,2,range,,2012-01-01,2014-12-31,,
23-Sep-21,2,day,2021-09-23,,,,
30-Oct-21,2,day,2021-10-30,,,,
41944,2,,,,,,Likely not a date
6-Jun-20,2,day,2020-06-06,,,,
7/11/2020,2,day,2020-07-11,,,,
8/31/2018,2,day,2018-08-31,,,,
9/1/2014,2,day,2014-09-01,,,,
9/30/2009,2,day,2009-09-30,,,,
?,2,,,,,,Not a date
Can't find- google maps,2,,,,,,Not a date
Dec-13,2,month,,2013-12-01,2013-12-31,,
Fall 2013,2,semester,,2013-09-01,2013-12-31,,
Fall 2015,2,semester,,2015-09-01,2015-12-31,,
Feb-April 2016,2,range,,2016-02-01,2016-04-30,,
Jan-March 2020,2,quarter,,2020-01-01,2020-03-31,,
Jul - Sep 2015,2,quarter,,2015-07-01,2015-09-30,,
July-Aug 2016,2,range,,2016-07-01,2016-08-31,,
Jun - Aug 2017,2,range,,2017-06-01,2017-08-31,,
Jun-Aug 2020,2,range,,2020-06-01,2020-08-31,,
June-July 2015,2,range,,2015-06-01,2015-07-31,,
Mar - Jun 2017,2,range,,2017-03-01,2017-06-30,,
March-May 2014,2,range,,2014-03-01,2014-05-31,,
May-Aug 2014,2,range,,2014-05-01,2014-08-31,,
May-Aug 2022,2,range,,2022-05-01,2022-08-31,,
May-July 2015,2,range,,2015-05-01,2015-07-31,,
OCT 2020 - JUN 2021,2,range,,2020-10-01,2021-06-30,,
Post July 2009,2,post_year,,,,2009,
