city,id,ksi_id
vancouver,297040,NA
vancouver,"297760,298245",NA
vancouver,"297915,298114,297916",NA
vancouver,"296854,294931,294932,298193",NA
vancouver,"296953,296955,296956,296959,296960,297176,297612,297613,298305,295621,295622,295623,296954,296957,296958,296961,297611,298304,298303,298306,297175",NA
vancouver,297042,NA
vancouver,297325,NA
vancouver,"296477,296478",NA
vancouver,297038,NA
vancouver,"297258,297259,297631,295325",NA
vancouver,296174,NA
vancouver,"295162,297559",NA
vancouver,295433,NA
vancouver,"295858,297806,295248",NA
vancouver,"295039,297579,298261,298262,296784,296785,296787,297580,298263,295037,295038,296786",NA
vancouver,"295040,298266",NA
vancouver,"295041,295244,295245,297803,296788,298267",NA
vancouver,"295246,295247,295856,297805,295857,297804",NA
vancouver,297581,NA
vancouver,"295059,297099",NA
vancouver,"296974,297276,297845,298379,298380,296719",NA
vancouver,"294938,297643,297549,298169,296262",NA
vancouver,296925,NA
vancouver,"296052,296836",NA
vancouver,"296978,296979,294962,296980",NA
vancouver,"296837,296053,296054",NA
vancouver,"296888,296887",NA
vancouver,"296736,296740,296741,296695,296696,296697,296735,296737,296738,296739,296743",NA
vancouver,"296742,296694,296698",NA
vancouver,"298119,295025,296653",NA
vancouver,"295564,295990,296923",NA
vancouver,"296468,297274,298154,298375,295841,295842,296398,296400,296466,296467,296507,296508,298376,298153,298377,294837,296399,296465,297275",NA
vancouver,298265,NA
vancouver,295285,NA
vancouver,"294863,297367",NA
vancouver,"294862,295469,295470,295672,296122,297197,297198,297199,297203,297377,297501,294754,294756,295673,295709,295712,295713,295714,295715,296868,296869,297200,297376,297500,297503,297504,297506,297508,298241,298242,294752,294753,294755,295526,295710,295711,297201,297202,297204,297502,297505,297507",NA
vancouver,"295692,295693,296635",NA
vancouver,"295024,295322,296358,296794,298117,298136,296470,296793,298135,295321,295807,296471,296472",NA
vancouver,296469,NA
vancouver,295420,NA
vancouver,295135,NA
vancouver,295136,NA
vancouver,"298218,295909,298217,295910,295911,297405",NA
vancouver,"295992,296031,296898",NA
vancouver,297430,NA
vancouver,"296541,297340,295388,297075,297076,297137,297334,295387,295389,297136",NA
vancouver,295570,NA
vancouver,"294954,298272",NA
vancouver,297432,NA
vancouver,"295776,297849,295625",NA
vancouver,"296839,296055,296840,297761,296056,296838",NA
vancouver,"295792,296296",NA
vancouver,298265,NA
vancouver,"297431,296682,296758",NA
vancouver,"297545,296260",NA
vancouver,"297801,298264",NA
vancouver,"298175,298198,298176,298177",NA
vancouver,"295564,295989,295990,296923",NA
vancouver,297012,NA
vancouver,"297558,296897",NA
vancouver,"297610,298302,295620",NA
vancouver,"296224,297630",NA
vancouver,296550,NA
vancouver,"295165,296554,297281",NA
vancouver,"295685,295686,297359,298277,295681,295917,297479,298276,298307,295624",NA
vancouver,296963,NA
vancouver,296962,NA
vancouver,"295788,297183,298314,298371,296772,296773,295787",NA
vancouver,"298036,298037,296636,298038,297823,298039,295694,296634",NA
vancouver,296455,NA
vancouver,"296734,295784,296733,295785,295786,296732",NA
calgary,332,NA
calgary,334,NA
calgary,"1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1533",NA
calgary,"337,339,386",NA
calgary,"1642,1643,1644,1645,1646,1647,1648,1678,1679,1680,1681,1682,1683,1684,1685,1686",NA
calgary,"1785,1786,1787,1788,1790",NA
calgary,"1837,1838,1839,1840,1841",NA
calgary,"2537,2538,2539,2540,2541,2542,2543",NA
calgary,"2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482",NA
calgary,4100,NA
calgary,"307,442,1519,1520,1521,1522,1523,1524,1525,1762,1763,1764,1765,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873",NA
calgary,"735,816,817,818,819,820,821,822,823,824,825",NA
calgary,"1514,1887,1888",NA
calgary,"472,473,554,797",NA
calgary,"562,563,809",NA
calgary,1585,NA
calgary,2418,NA
calgary,"2445,2446,2447,2448,2449",NA
calgary,"186,328,335,336",NA
calgary,"327,329,330,331,333",NA
calgary,"338,387,388",NA
calgary,"1776,1778,1780",NA
calgary,"1777,1779",NA
calgary,"1877,1878,1879,1880,1881,1882,1883,1884",NA
calgary,"2988,2989,2990,2991,2992,2993,2995,2996,2997,2998,2999,3000,3001,3002,3004,3005,3006,3007,3010,3012,3013,3014,3015,3016,3017,3018,3019",NA
calgary,"1572,1574",NA
calgary,1571,NA
calgary,1833,NA
calgary,1834,NA
calgary,1836,NA
calgary,"1979,1980,2005,2007",NA
calgary,"2010,2011,2013,2016,2017,2020",NA
calgary,"2014,2018,2019",NA
calgary,"252,312,664,1139,1140,1141,1142,1143,1144,1145",NA
calgary,"371,1233",NA
calgary,"474,475,476,477,494,1153,1154,1155,1156,1157,1158,1159,1160",NA
calgary,"1085,1086,1087,1088,1089,1090,1091,1092",NA
calgary,"1093,1094,1095,1096,1097,1098,1099,1100,1136",NA
calgary,"1164,1165,1166,2662",NA
calgary,"1227,1228,1229,1230,1231,1274,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298",NA
calgary,"1369,1370,1371",NA
calgary,2689,NA
calgary,546,NA
calgary,495,NA
calgary,1419,NA
calgary,1716,NA
calgary,"1458,2452,2453,2454",NA
calgary,2483,NA
calgary,"2377,2451",NA
calgary,493,NA
calgary,"2677,2685,2686,2688,2694,2695,2696,2699",NA
toronto,1268,81241570
toronto,1268,81241571
toronto,1136,7420674
toronto,1136,7420675
toronto,1136,7420676
toronto,1136,7420677
toronto,1136,7420678
toronto,1136,7420679
toronto,1136,80623082
toronto,1136,80623083
toronto,1136,81270440
toronto,1136,81270441
toronto,1136,81270442
toronto,"873,880",NA
toronto,887,NA
toronto,"973,974,975,985",80152019
toronto,"973,974,975,985",80152020
toronto,"977,986",81663310
toronto,"977,986",81663311
toronto,1036,80769284
toronto,1036,80769285
toronto,1036,81512031
toronto,1036,81512032
toronto,1036,81512033
toronto,1036,81512034
toronto,1036,81649079
toronto,1036,81649080
toronto,1036,81647935
toronto,1036,81647936
toronto,1036,81647937
toronto,"1038,1245",81679796
toronto,"1038,1245",81679797
toronto,"1038,1245",81807192
toronto,"1038,1245",81807193
toronto,1246,80972657
toronto,1246,80972658
toronto,1183,NA
toronto,1194,7799836
toronto,1194,7799837
toronto,1194,7843303
toronto,1194,7843304
toronto,1194,7843305
toronto,1194,80629000
toronto,1194,80629001
toronto,1194,80629002
toronto,1194,80629003
toronto,1194,80629004
toronto,1194,80497224
toronto,1194,80497225
toronto,1135,7431039
toronto,1135,7431040
toronto,1135,7433286
toronto,1135,7433287
toronto,1135,7425920
toronto,1135,7425921
toronto,1135,7474274
toronto,1135,7474275
toronto,1135,7474276
toronto,1135,80562726
toronto,1135,80562727
toronto,1135,80723928
toronto,1135,80723929
toronto,1135,81270440
toronto,1135,81270441
toronto,1135,81270442
toronto,1135,81582065
toronto,1135,81582066
toronto,1135,81666275
toronto,1135,81666276
toronto,1135,81745811
toronto,1135,81745812
toronto,1134,7812414
toronto,1134,7812415
toronto,1134,7812416
toronto,1134,7850472
toronto,1134,7850473
toronto,1134,7850474
toronto,1134,80543168
toronto,1134,80543169
toronto,1134,80774962
toronto,1134,80774963
toronto,1134,80774964
toronto,1134,80933880
toronto,1134,80933881
toronto,1134,81278245
toronto,1134,81278246
toronto,1134,81278247
toronto,1134,81278248
toronto,1134,81658183
toronto,1134,81658184
toronto,1199,80220994
toronto,1199,80220995
toronto,1199,81163775
toronto,1199,81163776
toronto,1199,81333318
toronto,1199,81333319
toronto,1199,81614761
toronto,1199,81614767
toronto,1199,81614768
toronto,1199,81614769
toronto,1199,81614770
toronto,1199,81614771
toronto,1199,81614772
toronto,1199,81614773
toronto,1199,81614774
toronto,1199,81749219
toronto,1196,7442504
toronto,1196,7442505
toronto,1196,7880139
toronto,1196,7880140
toronto,1196,7880141
toronto,1196,7880142
toronto,1196,7880143
toronto,1196,80631946
toronto,1196,80631947
toronto,1196,80631948
toronto,1196,81514492
toronto,1196,81514493
toronto,1196,81703208
toronto,1196,81703209
toronto,1196,81703961
toronto,1196,81703962
toronto,1297,80155879
toronto,1297,80155880
toronto,1297,80784057
toronto,1297,80784058
toronto,1297,80784059
toronto,1297,80784060
toronto,1297,80784301
toronto,1297,80784302
toronto,1297,80784303
toronto,1297,80944449
toronto,1297,80944450
toronto,1297,80949575
toronto,1297,80949576
toronto,1297,80949577
toronto,1297,81241031
toronto,1297,81241032
toronto,1297,81241033
toronto,1297,81241034
toronto,1297,81504587
toronto,1297,81504588
toronto,1297,81579849
toronto,1297,81579850
toronto,1202,7406569
toronto,1202,7406570
toronto,1202,7406571
toronto,1202,7518742
toronto,1202,7518743
toronto,1202,7518744
toronto,1202,7831270
toronto,1202,7831271
toronto,1202,7831272
toronto,1202,80159333
toronto,1202,80159334
toronto,1202,80159335
toronto,1202,80159336
toronto,1202,80159337
toronto,1202,80241584
toronto,1202,80241585
toronto,1202,80491737
toronto,1202,80491738
toronto,1202,80944297
toronto,1202,80944298
toronto,1202,81262420
toronto,1202,81262421
toronto,1202,81262422
toronto,1202,81408531
toronto,1202,81543165
toronto,1202,81543166
toronto,1202,81646403
toronto,1202,81646404
toronto,1202,81746890
toronto,1202,81746891
toronto,1202,81745858
toronto,1202,81745859
toronto,1202,81755064
toronto,1202,81755065
toronto,1202,81811126
toronto,1202,81811127
toronto,1020,7411074
toronto,1020,7411075
toronto,1020,7850188
toronto,1020,7850189
toronto,1020,7850190
toronto,1020,7850191
toronto,1020,7864812
toronto,1020,7864813
toronto,1020,7864814
toronto,1020,80489685
toronto,1020,80542741
toronto,1020,80542742
toronto,1020,80542743
toronto,1020,80542744
toronto,1020,80543552
toronto,1020,80543553
toronto,1020,80543554
toronto,1020,80543555
toronto,1020,80543556
toronto,1020,81449963
toronto,1020,81449964
toronto,1020,81704446
toronto,1020,81704447
toronto,1217,NA
toronto,1309,NA
toronto,1167,7376203
toronto,1167,7376204
toronto,1167,7376205
toronto,1167,7376206
toronto,1167,7417618
toronto,1167,7417619
toronto,1167,7444319
toronto,1167,7444320
toronto,1167,7461122
toronto,1167,7461123
toronto,1167,7475169
toronto,1167,7475170
toronto,1167,7528586
toronto,1167,7528587
toronto,1167,7841809
toronto,1167,7841810
toronto,1167,7875638
toronto,1167,7875639
toronto,1167,7875640
toronto,1167,7882964
toronto,1167,7882965
toronto,1167,7882966
toronto,1167,7882967
toronto,1167,7880334
toronto,1167,7880335
toronto,1167,7890603
toronto,1167,7890604
toronto,1167,7890605
toronto,1167,7894088
toronto,1167,7894089
toronto,1167,7894090
toronto,1167,7894091
toronto,1167,7894404
toronto,1167,7894405
toronto,1167,7894406
toronto,1167,80173527
toronto,1167,80173528
toronto,1167,80560198
toronto,1167,80560199
toronto,1167,80560200
toronto,1167,80239310
toronto,1167,80239311
toronto,1167,80239312
toronto,1167,80239313
toronto,1167,80495601
toronto,1167,80495602
toronto,1167,80496256
toronto,1167,80496257
toronto,1167,80719315
toronto,1167,80719316
toronto,1167,80719317
toronto,1167,80719318
toronto,1167,80778165
toronto,1167,80778166
toronto,1167,80771754
toronto,1167,80771755
toronto,1167,80770489
toronto,1167,80770490
toronto,1167,80770491
toronto,1167,80770492
toronto,1167,80769940
toronto,1167,80769941
toronto,1167,81143893
toronto,1167,81143894
toronto,1167,80944120
toronto,1167,80944121
toronto,1167,80944122
toronto,1167,81164299
toronto,1167,81514424
toronto,1167,81451125
toronto,1167,81451126
toronto,1167,81451127
toronto,1167,81451128
toronto,1167,81451129
toronto,1167,81451130
toronto,1167,80972040
toronto,1167,80972041
toronto,1167,81464300
toronto,1167,81464301
toronto,1167,80975180
toronto,1167,80975181
toronto,1167,81142728
toronto,1167,81142729
toronto,1167,81142730
toronto,1167,81163697
toronto,1167,81163698
toronto,1167,81467006
toronto,1167,81467007
toronto,1167,81467008
toronto,1167,81467009
toronto,1167,81270235
toronto,1167,81270236
toronto,1167,81270237
toronto,1167,81322489
toronto,1167,81322490
toronto,1167,81322491
toronto,1167,81454610
toronto,1167,81454611
toronto,1167,81339299
toronto,1167,81339300
toronto,1167,81339301
toronto,1167,81339302
toronto,1167,81484947
toronto,1167,81484948
toronto,1167,81484949
toronto,1167,81484950
toronto,1167,81484951
toronto,1167,81509992
